id,leaf_length_cm,leaf_width_cm,color_score,species,tree_type
1188,11.549,3.562,0.742,Willow,Deciduous
1189,8.015,6.001,0.819,Ash,Deciduous
1190,9.31,5.258,0.723,Ash,Deciduous
1191,5.065,2.519,0.395,Pine,Coniferous
1192,4.923,2.66,0.71,Cherry,Deciduous
1193,7.746,3.155,0.5,Birch,Deciduous
1194,12.167,4.281,0.675,Poplar,Deciduous
1195,3.838,2.997,0.423,Cedar,Coniferous
1196,8.901,2.901,0.607,Willow,Deciduous
1197,9.025,4.675,0.645,Maple,Deciduous
1198,8.762,3.364,0.597,Birch,Deciduous
1199,3.689,1.964,0.624,Cherry,Deciduous
1200,7.026,3.367,0.505,Birch,Deciduous
1201,4.94,2.052,0.41,Pine,Coniferous
1202,5.593,1.837,0.452,Cedar,Coniferous
1203,12.834,3.357,0.654,Willow,Deciduous
1204,9.513,4.727,0.61,Maple,Deciduous
1205,6.237,2.913,0.38,Spruce,Coniferous
1206,6.408,2.249,0.384,Pine,Coniferous
1207,5.693,2.34,0.424,Pine,Coniferous
1208,14.177,7.136,0.719,Oak,Deciduous
1209,3.384,2.641,0.356,Pine,Coniferous
1210,4.847,2.725,0.373,Spruce,Coniferous
1211,11.821,2.586,0.674,Willow,Deciduous
1212,6.4,2.784,0.379,Pine,Coniferous
1213,5.038,2.489,0.646,Cherry,Deciduous
1214,11.815,3.799,0.617,Poplar,Deciduous
1215,10.534,4.481,0.696,Poplar,Deciduous
1216,6.13,2.893,0.626,Cherry,Deciduous
1217,6.953,2.612,0.38,Pine,Coniferous
1218,7.722,4.06,0.696,Willow,Deciduous
1219,10.922,4.924,0.82,Oak,Deciduous
1220,5.712,2.188,0.636,Cherry,Deciduous
1221,4.94,2.908,0.729,Cherry,Deciduous
1222,5.073,2.277,0.37,Spruce,Coniferous
1223,6.237,3.25,0.698,Cherry,Deciduous
1224,6.962,2.411,0.632,Birch,Deciduous
1225,4.836,2.615,0.437,Pine,Coniferous
1226,8.702,3.455,0.538,Birch,Deciduous
1227,6.523,2.733,0.746,Cherry,Deciduous
1228,12.937,2.265,0.616,Willow,Deciduous
1229,10.914,3.352,0.602,Willow,Deciduous
1230,5.328,3.101,0.534,Birch,Deciduous
1231,12.053,5.921,0.652,Oak,Deciduous
1232,5.119,1.117,0.432,Cedar,Coniferous
1233,11.204,5.807,0.793,Oak,Deciduous
1234,8.554,3.342,0.481,Birch,Deciduous
1235,11.06,3.195,0.735,Ash,Deciduous
1236,11.602,3.985,0.699,Willow,Deciduous
1237,11.097,5.809,0.7,Oak,Deciduous
1238,6.889,2.91,0.681,Cherry,Deciduous
1239,7.897,4.339,0.674,Maple,Deciduous
1240,10.463,5.419,0.743,Oak,Deciduous
1241,10.318,5.226,0.689,Poplar,Deciduous
1242,13.308,5.558,0.758,Oak,Deciduous
1243,9.543,3.423,0.645,Poplar,Deciduous
1244,5.679,2.392,0.604,Birch,Deciduous
1245,3.736,2.635,0.465,Cedar,Coniferous
1246,12.825,6.35,0.765,Ash,Deciduous
1247,10.83,3.272,0.612,Willow,Deciduous
1248,6.754,1.806,0.387,Spruce,Coniferous
1249,10.001,4.462,0.706,Ash,Deciduous
1250,11.503,3.864,0.674,Ash,Deciduous
1251,11.029,4.357,0.593,Poplar,Deciduous
1252,11.393,3.842,0.654,Willow,Deciduous
1253,10.436,3.767,0.57,Maple,Deciduous
1254,8.342,3.482,0.545,Maple,Deciduous
1255,6.644,3.109,0.567,Birch,Deciduous
1256,10.227,3.875,0.716,Ash,Deciduous
1257,9.538,4.109,0.664,Ash,Deciduous
1258,6.452,2.253,0.375,Spruce,Coniferous
1259,9.078,4.341,0.642,Ash,Deciduous
1260,7.298,4.453,0.586,Maple,Deciduous
1261,4.784,3.0,0.402,Spruce,Coniferous
1262,11.564,4.018,0.561,Willow,Deciduous
1263,10.577,2.546,0.573,Birch,Deciduous
1264,7.501,2.343,0.398,Pine,Coniferous
1265,6.964,2.628,0.431,Pine,Coniferous
1266,8.12,3.837,0.524,Birch,Deciduous
1267,11.578,3.833,0.622,Willow,Deciduous
1268,5.904,2.89,0.618,Birch,Deciduous
1269,10.405,4.465,0.68,Poplar,Deciduous
1270,10.411,7.505,0.858,Oak,Deciduous
1271,7.36,2.223,0.303,Cedar,Coniferous
1272,13.671,3.979,0.607,Willow,Deciduous
1273,4.688,1.956,0.411,Spruce,Coniferous
1274,5.588,2.82,0.393,Cedar,Coniferous
1275,10.524,2.456,0.596,Willow,Deciduous
1276,10.816,3.477,0.616,Willow,Deciduous
1277,4.765,2.542,0.411,Spruce,Coniferous
1278,6.678,2.245,0.663,Cherry,Deciduous
1279,5.05,2.029,0.338,Spruce,Coniferous
1280,5.915,2.197,0.434,Pine,Coniferous
1281,4.841,1.937,0.305,Pine,Coniferous
1282,5.883,3.137,0.518,Birch,Deciduous
1283,10.329,4.852,0.608,Poplar,Deciduous
1284,6.555,2.91,0.734,Cherry,Deciduous
1285,11.884,8.059,0.809,Oak,Deciduous
1286,9.625,3.257,0.684,Willow,Deciduous
1287,6.055,3.2,0.489,Birch,Deciduous
1288,7.788,4.226,0.591,Maple,Deciduous
1289,8.198,4.429,0.616,Maple,Deciduous
1290,6.149,3.37,0.508,Birch,Deciduous
1291,11.289,5.01,0.72,Ash,Deciduous
1292,4.918,3.327,0.317,Pine,Coniferous
1293,8.663,5.893,0.729,Ash,Deciduous
1294,11.324,5.734,0.732,Ash,Deciduous
1295,11.062,5.035,0.705,Ash,Deciduous
1296,7.999,5.198,0.65,Poplar,Deciduous
1297,9.828,5.664,0.749,Oak,Deciduous
1298,4.83,2.446,0.419,Cedar,Coniferous
1299,6.935,1.818,0.409,Spruce,Coniferous
1300,6.047,2.281,0.43,Cedar,Coniferous
1301,8.225,4.383,0.59,Maple,Deciduous
1302,9.575,4.197,0.573,Birch,Deciduous
1303,4.15,2.778,0.359,Spruce,Coniferous
1304,10.835,4.851,0.598,Poplar,Deciduous
1305,6.218,2.827,0.671,Cherry,Deciduous
1306,6.971,2.863,0.56,Birch,Deciduous
1307,11.386,4.368,0.822,Ash,Deciduous
1308,7.984,5.335,0.67,Ash,Deciduous
1309,7.06,4.064,0.585,Maple,Deciduous
1310,10.229,3.815,0.532,Maple,Deciduous
1311,5.375,2.513,0.626,Cherry,Deciduous
1312,12.515,6.511,0.854,Oak,Deciduous
1313,6.568,2.323,0.365,Spruce,Coniferous
1314,5.359,2.106,0.391,Pine,Coniferous
1315,7.877,4.605,0.699,Maple,Deciduous
1316,6.367,3.615,0.48,Birch,Deciduous
1317,11.204,3.418,0.66,Willow,Deciduous
1318,5.794,3.089,0.63,Cherry,Deciduous
1319,7.357,2.809,0.383,Spruce,Coniferous
1320,7.078,3.697,0.523,Maple,Deciduous
1321,5.917,3.313,0.661,Cherry,Deciduous
1322,5.557,2.149,0.305,Spruce,Coniferous
1323,11.498,6.278,0.837,Oak,Deciduous
1324,9.13,4.295,0.558,Maple,Deciduous
1325,5.288,2.206,0.407,Cedar,Coniferous
1326,8.479,5.054,0.759,Ash,Deciduous
1327,12.968,4.912,0.752,Oak,Deciduous
1328,12.71,3.879,0.7,Oak,Deciduous
1329,10.465,4.11,0.624,Maple,Deciduous
1330,4.499,1.964,0.407,Cedar,Coniferous
1331,6.612,2.333,0.369,Cedar,Coniferous
1332,6.228,2.91,0.321,Spruce,Coniferous
1333,10.085,3.068,0.541,Maple,Deciduous
1334,6.184,2.336,0.358,Cedar,Coniferous
1335,6.709,3.41,0.551,Birch,Deciduous
1336,10.486,4.335,0.741,Willow,Deciduous
1337,5.668,1.951,0.385,Pine,Coniferous
1338,11.502,5.112,0.746,Ash,Deciduous
1339,10.99,3.242,0.632,Willow,Deciduous
1340,5.644,2.374,0.691,Cherry,Deciduous
1341,7.281,3.365,0.519,Birch,Deciduous
1342,7.024,2.452,0.476,Birch,Deciduous
1343,11.24,3.442,0.605,Willow,Deciduous
1344,8.277,4.093,0.557,Maple,Deciduous
1345,6.646,2.922,0.689,Cherry,Deciduous
1346,11.723,4.461,0.727,Ash,Deciduous
1347,4.759,1.836,0.416,Cedar,Coniferous
1348,8.443,3.663,0.545,Birch,Deciduous
1349,4.74,3.035,0.307,Spruce,Coniferous
1350,7.884,3.392,0.647,Birch,Deciduous
1351,10.296,4.875,0.618,Poplar,Deciduous
1352,7.007,2.851,0.644,Cherry,Deciduous
1353,9.349,1.957,0.587,Birch,Deciduous
1354,12.243,5.067,0.676,Ash,Deciduous
1355,4.643,2.927,0.414,Spruce,Coniferous
1356,9.24,5.996,0.631,Ash,Deciduous
1357,5.587,2.246,0.34,Pine,Coniferous
1358,6.187,1.622,0.429,Pine,Coniferous
1359,12.366,5.71,0.705,Oak,Deciduous
1360,6.141,2.988,0.358,Pine,Coniferous
1361,9.424,3.225,0.675,Willow,Deciduous
1362,7.794,4.635,0.58,Poplar,Deciduous
1363,6.04,2.871,0.652,Cherry,Deciduous
1364,6.215,2.657,0.319,Spruce,Coniferous
1365,6.858,2.938,0.553,Birch,Deciduous
1366,4.923,2.646,0.412,Pine,Coniferous
1367,8.781,4.986,0.633,Maple,Deciduous
1368,5.362,1.931,0.361,Pine,Coniferous
1369,6.347,3.019,0.408,Spruce,Coniferous
1370,6.464,2.813,0.324,Pine,Coniferous
1371,11.293,7.264,0.804,Oak,Deciduous
1372,9.081,4.355,0.548,Maple,Deciduous
1373,8.749,4.206,0.669,Maple,Deciduous
1374,5.939,2.761,0.566,Cherry,Deciduous
1375,4.911,3.268,0.407,Pine,Coniferous
1376,7.22,2.873,0.444,Birch,Deciduous
1377,9.088,4.645,0.629,Poplar,Deciduous
1378,8.891,3.782,0.589,Poplar,Deciduous
1379,10.022,3.735,0.543,Poplar,Deciduous
1380,10.463,4.964,0.831,Ash,Deciduous
1381,8.574,3.269,0.466,Birch,Deciduous
1382,11.09,2.806,0.68,Willow,Deciduous
1383,4.519,2.404,0.416,Spruce,Coniferous
1384,8.044,3.818,0.517,Birch,Deciduous
1385,11.813,5.337,0.602,Ash,Deciduous
1386,4.743,2.355,0.367,Pine,Coniferous
1387,5.566,2.502,0.448,Cedar,Coniferous
1388,9.208,4.678,0.583,Poplar,Deciduous
1389,7.274,2.565,0.585,Birch,Deciduous
1390,9.116,4.459,0.617,Birch,Deciduous
1391,8.347,2.812,0.461,Birch,Deciduous
1392,10.609,3.502,0.615,Maple,Deciduous
1393,5.906,1.554,0.345,Spruce,Coniferous
1394,10.267,3.257,0.509,Maple,Deciduous
1395,10.065,4.309,0.658,Poplar,Deciduous
1396,8.94,4.883,0.525,Poplar,Deciduous
1397,8.942,3.345,0.654,Birch,Deciduous
1398,12.714,3.247,0.6,Poplar,Deciduous
1399,8.052,3.163,0.565,Birch,Deciduous
1400,7.217,1.853,0.415,Cedar,Coniferous
1401,3.777,2.411,0.392,Cedar,Coniferous
1402,8.643,3.634,0.524,Poplar,Deciduous
1403,7.302,2.747,0.455,Birch,Deciduous
1404,11.33,5.726,0.832,Oak,Deciduous
1405,6.655,2.671,0.497,Birch,Deciduous
1406,10.424,5.357,0.634,Ash,Deciduous
1407,6.832,3.294,0.584,Birch,Deciduous
1408,10.119,5.458,0.75,Ash,Deciduous
1409,11.023,6.883,0.778,Oak,Deciduous
1410,6.45,2.919,0.684,Cherry,Deciduous
1411,7.28,2.619,0.736,Cherry,Deciduous
1412,8.713,5.254,0.634,Maple,Deciduous
1413,5.771,1.628,0.408,Spruce,Coniferous
1414,4.901,2.062,0.365,Cedar,Coniferous
1415,6.366,1.692,0.361,Cedar,Coniferous
1416,6.938,2.521,0.368,Pine,Coniferous
1417,8.684,3.479,0.5,Birch,Deciduous
1418,12.992,4.035,0.701,Willow,Deciduous
1419,6.372,2.276,0.358,Spruce,Coniferous
1420,5.494,4.402,0.631,Maple,Deciduous
1421,6.297,3.346,0.643,Cherry,Deciduous
1422,6.745,2.744,0.662,Cherry,Deciduous
1423,10.096,3.918,0.55,Maple,Deciduous
1424,4.811,1.389,0.416,Cedar,Coniferous
1425,10.966,5.311,0.654,Ash,Deciduous
1426,5.149,2.683,0.392,Pine,Coniferous
1427,7.691,4.301,0.615,Maple,Deciduous
1428,10.749,4.334,0.668,Willow,Deciduous
1429,8.982,2.793,0.522,Birch,Deciduous
1430,4.917,2.441,0.385,Spruce,Coniferous
1431,8.045,3.77,0.558,Maple,Deciduous
1432,12.838,2.729,0.654,Willow,Deciduous
1433,6.849,3.139,0.622,Birch,Deciduous
1434,11.292,4.976,0.778,Oak,Deciduous
1435,11.697,6.166,0.734,Oak,Deciduous
1436,4.317,2.174,0.513,Pine,Coniferous
1437,5.011,2.383,0.377,Cedar,Coniferous
1438,7.197,2.907,0.549,Birch,Deciduous
1439,6.331,1.785,0.451,Pine,Coniferous
1440,6.238,2.335,0.438,Pine,Coniferous
1441,10.079,3.278,0.763,Ash,Deciduous
1442,7.87,3.355,0.564,Birch,Deciduous
1443,10.84,5.556,0.825,Oak,Deciduous
1444,6.787,4.074,0.561,Poplar,Deciduous
1445,5.858,1.44,0.333,Cedar,Coniferous
1446,6.774,2.161,0.753,Cherry,Deciduous
1447,6.368,3.372,0.337,Spruce,Coniferous
1448,11.694,3.665,0.675,Willow,Deciduous
1449,5.338,2.606,0.421,Pine,Coniferous
1450,12.693,6.148,0.831,Oak,Deciduous
1451,7.6,3.252,0.569,Birch,Deciduous
1452,7.371,2.746,0.547,Birch,Deciduous
1453,9.429,4.709,0.651,Poplar,Deciduous
1454,7.626,3.054,0.512,Birch,Deciduous
1455,9.657,5.197,0.753,Ash,Deciduous
1456,12.542,6.069,0.77,Oak,Deciduous
1457,6.487,3.725,0.681,Cherry,Deciduous
1458,9.885,3.935,0.548,Poplar,Deciduous
1459,7.444,4.544,0.686,Ash,Deciduous
1460,6.4,2.195,0.341,Cedar,Coniferous
1461,3.987,2.826,0.376,Spruce,Coniferous
1462,4.757,2.319,0.386,Cedar,Coniferous
1463,7.039,2.698,0.476,Pine,Coniferous
1464,7.097,2.756,0.387,Pine,Coniferous
1465,7.849,4.126,0.554,Maple,Deciduous
1466,5.692,1.951,0.414,Pine,Coniferous
1467,6.654,2.614,0.696,Birch,Deciduous
1468,8.98,5.204,0.746,Ash,Deciduous
1469,11.309,6.208,0.816,Oak,Deciduous
1470,8.71,3.25,0.495,Maple,Deciduous
1471,8.664,4.495,0.638,Poplar,Deciduous
1472,9.854,3.45,0.622,Poplar,Deciduous
1473,6.114,2.505,0.703,Cherry,Deciduous
1474,6.757,2.715,0.416,Pine,Coniferous
1475,6.156,2.181,0.364,Spruce,Coniferous
1476,10.521,6.352,0.753,Oak,Deciduous
1477,6.98,3.689,0.376,Spruce,Coniferous
1478,8.476,3.398,0.572,Maple,Deciduous
1479,8.001,5.608,0.766,Ash,Deciduous
1480,11.636,4.183,0.702,Ash,Deciduous
1481,8.558,3.994,0.687,Poplar,Deciduous
1482,7.387,5.66,0.708,Ash,Deciduous
1483,5.788,1.735,0.37,Cedar,Coniferous
1484,7.738,3.918,0.622,Poplar,Deciduous
1485,6.701,2.633,0.388,Pine,Coniferous
1486,8.289,4.534,0.611,Maple,Deciduous
1487,4.652,2.211,0.65,Cherry,Deciduous
1488,11.302,3.432,0.661,Willow,Deciduous
1489,6.34,3.173,0.353,Spruce,Coniferous
1490,6.887,4.713,0.586,Maple,Deciduous
1491,10.77,3.864,0.695,Willow,Deciduous
1492,10.286,5.097,0.668,Oak,Deciduous
1493,6.911,3.366,0.575,Birch,Deciduous
1494,6.157,2.383,0.401,Spruce,Coniferous
1495,11.518,6.852,0.8,Oak,Deciduous
1496,5.088,1.988,0.632,Cherry,Deciduous
1497,8.35,3.195,0.529,Birch,Deciduous
1498,7.75,2.369,0.555,Birch,Deciduous
1499,5.145,2.087,0.374,Cedar,Coniferous
1500,6.694,3.084,0.522,Birch,Deciduous
1501,8.529,2.679,0.565,Birch,Deciduous
1502,6.378,2.702,0.396,Cedar,Coniferous
1503,10.957,5.943,0.659,Ash,Deciduous
1504,6.856,2.184,0.382,Pine,Coniferous
1505,5.988,2.663,0.442,Spruce,Coniferous
1506,11.281,6.424,0.836,Oak,Deciduous
1507,7.37,3.057,0.289,Cedar,Coniferous
1508,8.768,2.53,0.526,Birch,Deciduous
1509,9.878,3.527,0.663,Poplar,Deciduous
1510,6.36,2.652,0.375,Pine,Coniferous
1511,8.027,3.414,0.537,Birch,Deciduous
1512,11.029,3.168,0.684,Willow,Deciduous
1513,9.362,6.175,0.757,Oak,Deciduous
1514,11.296,5.506,0.728,Ash,Deciduous
1515,7.34,2.628,0.374,Pine,Coniferous
1516,8.522,2.617,0.583,Birch,Deciduous
1517,8.9,4.47,0.572,Maple,Deciduous
1518,6.072,2.571,0.474,Pine,Coniferous
1519,4.858,1.684,0.365,Cedar,Coniferous
1520,4.687,2.944,0.336,Spruce,Coniferous
1521,5.638,2.067,0.388,Spruce,Coniferous
1522,5.21,2.525,0.413,Cedar,Coniferous
1523,13.745,5.24,0.834,Oak,Deciduous
1524,10.49,4.766,0.686,Poplar,Deciduous
1525,6.559,2.436,0.533,Birch,Deciduous
1526,4.085,2.514,0.388,Pine,Coniferous
1527,10.688,4.324,0.637,Ash,Deciduous
1528,10.537,4.404,0.647,Maple,Deciduous
1529,4.967,1.994,0.381,Spruce,Coniferous
1530,5.955,3.517,0.506,Birch,Deciduous
1531,7.081,2.401,0.591,Birch,Deciduous
1532,7.994,4.157,0.641,Cherry,Deciduous
1533,6.955,1.792,0.428,Pine,Coniferous
1534,5.474,1.83,0.406,Cedar,Coniferous
1535,6.436,2.234,0.582,Birch,Deciduous
1536,7.078,2.765,0.302,Spruce,Coniferous
1537,5.839,2.146,0.609,Cherry,Deciduous
1538,6.635,2.824,0.397,Pine,Coniferous
1539,12.568,4.194,0.583,Willow,Deciduous
1540,12.149,6.523,0.786,Oak,Deciduous
1541,10.564,4.794,0.728,Willow,Deciduous
1542,11.422,6.098,0.699,Oak,Deciduous
1543,6.924,3.018,0.396,Pine,Coniferous
1544,6.761,2.903,0.538,Birch,Deciduous
1545,4.68,2.054,0.465,Pine,Coniferous
1546,12.159,3.427,0.68,Willow,Deciduous
1547,11.946,6.27,0.689,Oak,Deciduous
1548,7.024,2.766,0.386,Pine,Coniferous
1549,8.613,3.886,0.616,Maple,Deciduous
1550,8.701,4.548,0.594,Willow,Deciduous
1551,8.203,2.748,0.568,Birch,Deciduous
1552,5.215,2.77,0.381,Cedar,Coniferous
1553,8.205,3.138,0.681,Cherry,Deciduous
1554,11.779,6.712,0.766,Oak,Deciduous
1555,10.344,5.156,0.724,Ash,Deciduous
1556,6.454,3.245,0.613,Maple,Deciduous
1557,6.003,2.577,0.691,Cherry,Deciduous
1558,11.356,3.689,0.645,Willow,Deciduous
1559,5.925,1.745,0.321,Cedar,Coniferous
1560,8.458,3.992,0.533,Poplar,Deciduous
1561,10.238,4.749,0.709,Ash,Deciduous
1562,13.121,6.448,0.744,Oak,Deciduous
1563,8.82,3.238,0.568,Birch,Deciduous
1564,5.248,1.246,0.289,Cedar,Coniferous
1565,5.105,1.835,0.328,Spruce,Coniferous
1566,4.995,1.768,0.378,Cedar,Coniferous
1567,6.569,2.052,0.381,Cedar,Coniferous
1568,6.274,2.912,0.673,Cherry,Deciduous
1569,8.78,4.871,0.692,Ash,Deciduous
1570,5.555,1.716,0.377,Cedar,Coniferous
1571,9.398,3.611,0.651,Maple,Deciduous
1572,9.153,4.111,0.582,Poplar,Deciduous
1573,13.286,5.972,0.697,Oak,Deciduous
1574,5.597,3.144,0.323,Spruce,Coniferous
1575,5.5,2.047,0.368,Spruce,Coniferous
1576,5.649,1.829,0.599,Cherry,Deciduous
1577,10.413,4.46,0.598,Ash,Deciduous
1578,5.7,3.099,0.414,Pine,Coniferous
1579,6.566,2.785,0.435,Cedar,Coniferous
1580,7.284,2.98,0.636,Birch,Deciduous
1581,9.352,5.223,0.732,Ash,Deciduous
1582,9.481,5.658,0.684,Ash,Deciduous
1583,11.016,4.743,0.576,Ash,Deciduous
1584,8.817,4.87,0.654,Ash,Deciduous
1585,11.557,3.802,0.711,Willow,Deciduous
1586,7.762,2.355,0.52,Birch,Deciduous
1587,7.935,4.517,0.601,Maple,Deciduous
1588,9.081,5.08,0.718,Ash,Deciduous
1589,5.25,2.601,0.71,Cherry,Deciduous
1590,5.025,3.25,0.342,Spruce,Coniferous
1591,8.627,3.155,0.673,Willow,Deciduous
1592,5.3,3.139,0.389,Spruce,Coniferous
1593,11.075,5.229,0.668,Ash,Deciduous
1594,4.463,2.117,0.266,Spruce,Coniferous
1595,13.316,5.223,0.646,Ash,Deciduous
1596,10.855,5.014,0.712,Ash,Deciduous
1597,4.862,1.761,0.45,Cedar,Coniferous
1598,4.842,1.459,0.421,Pine,Coniferous
1599,5.323,2.676,0.456,Cedar,Coniferous
1600,9.526,4.167,0.595,Poplar,Deciduous
1601,12.691,7.299,0.708,Ash,Deciduous
1602,12.074,3.54,0.627,Willow,Deciduous
1603,10.2,4.182,0.676,Ash,Deciduous
1604,9.514,3.894,0.643,Maple,Deciduous
1605,6.018,2.11,0.594,Cherry,Deciduous
1606,5.959,2.309,0.356,Spruce,Coniferous
1607,9.358,3.881,0.674,Willow,Deciduous
1608,10.761,3.782,0.688,Ash,Deciduous
1609,11.384,2.617,0.594,Willow,Deciduous
1610,4.607,2.891,0.437,Pine,Coniferous
1611,8.361,3.686,0.572,Maple,Deciduous
1612,4.67,1.608,0.378,Cedar,Coniferous
1613,4.305,2.793,0.384,Pine,Coniferous
1614,5.982,2.255,0.376,Cedar,Coniferous
1615,6.349,2.482,0.361,Spruce,Coniferous
1616,4.262,1.901,0.382,Cedar,Coniferous
1617,7.159,3.12,0.605,Birch,Deciduous
1618,8.218,2.349,0.487,Birch,Deciduous
1619,11.911,6.021,0.744,Oak,Deciduous
1620,5.663,1.709,0.457,Pine,Coniferous
1621,9.904,3.725,0.622,Willow,Deciduous
1622,14.379,6.919,0.752,Oak,Deciduous
1623,6.266,2.474,0.393,Cedar,Coniferous
1624,5.343,2.578,0.335,Pine,Coniferous
1625,9.019,7.66,0.748,Oak,Deciduous
1626,3.779,2.082,0.37,Spruce,Coniferous
1627,6.101,2.672,0.417,Spruce,Coniferous
1628,5.88,2.057,0.378,Spruce,Coniferous
1629,11.23,3.02,0.611,Willow,Deciduous
1630,12.517,2.888,0.662,Willow,Deciduous
1631,8.77,3.118,0.64,Willow,Deciduous
1632,6.566,1.479,0.335,Spruce,Coniferous
1633,5.601,1.841,0.313,Cedar,Coniferous
1634,9.169,3.315,0.673,Poplar,Deciduous
1635,11.787,3.356,0.654,Willow,Deciduous
1636,7.125,2.271,0.432,Pine,Coniferous
1637,13.128,5.262,0.854,Oak,Deciduous
1638,5.437,2.755,0.368,Spruce,Coniferous
1639,12.421,6.566,0.65,Oak,Deciduous
1640,7.169,4.425,0.64,Maple,Deciduous
1641,6.773,1.809,0.341,Cedar,Coniferous
1642,9.954,3.676,0.612,Poplar,Deciduous
1643,6.437,2.222,0.37,Spruce,Coniferous
1644,7.767,4.636,0.574,Maple,Deciduous
1645,11.498,2.986,0.656,Willow,Deciduous
1646,8.431,3.61,0.586,Maple,Deciduous
1647,4.831,2.816,0.38,Cedar,Coniferous
1648,7.77,3.167,0.711,Cherry,Deciduous
1649,7.2,3.804,0.551,Birch,Deciduous
1650,7.886,2.57,0.349,Spruce,Coniferous
1651,7.005,2.938,0.542,Birch,Deciduous
1652,7.931,4.264,0.685,Maple,Deciduous
1653,15.23,5.334,0.731,Oak,Deciduous
1654,12.44,6.659,0.76,Oak,Deciduous
1655,12.032,6.545,0.735,Oak,Deciduous
1656,7.466,3.356,0.539,Birch,Deciduous
1657,5.809,2.563,0.461,Pine,Coniferous
1658,11.828,8.022,0.756,Oak,Deciduous
1659,9.897,4.343,0.577,Maple,Deciduous
1660,10.337,4.073,0.738,Ash,Deciduous
1661,10.434,5.07,0.636,Poplar,Deciduous
1662,8.797,3.461,0.679,Maple,Deciduous
1663,8.338,3.062,0.548,Birch,Deciduous
1664,7.443,3.094,0.466,Birch,Deciduous
1665,5.394,2.278,0.357,Spruce,Coniferous
1666,6.156,2.626,0.337,Cedar,Coniferous
1667,5.706,2.199,0.43,Cedar,Coniferous
1668,6.98,3.971,0.581,Maple,Deciduous
1669,10.065,4.993,0.65,Ash,Deciduous
1670,5.059,2.837,0.703,Cherry,Deciduous
1671,5.933,2.184,0.427,Pine,Coniferous
1672,6.872,2.971,0.685,Cherry,Deciduous
1673,3.267,2.914,0.754,Cherry,Deciduous
1674,6.683,4.078,0.671,Ash,Deciduous
1675,10.567,3.428,0.587,Willow,Deciduous
1676,6.143,3.395,0.452,Birch,Deciduous
1677,6.878,2.585,0.39,Pine,Coniferous
1678,11.89,4.021,0.554,Willow,Deciduous
1679,5.902,2.173,0.388,Cedar,Coniferous
1680,10.304,5.591,0.612,Poplar,Deciduous
1681,11.972,3.308,0.629,Willow,Deciduous
1682,12.88,5.381,0.737,Oak,Deciduous
1683,8.69,4.898,0.589,Poplar,Deciduous
1684,4.6,2.731,0.349,Spruce,Coniferous
1685,9.368,4.151,0.596,Poplar,Deciduous
1686,8.07,5.61,0.761,Oak,Deciduous
1687,10.947,6.664,0.749,Oak,Deciduous
1688,8.266,3.593,0.562,Maple,Deciduous
1689,10.861,6.229,0.682,Oak,Deciduous
1690,7.622,3.436,0.509,Poplar,Deciduous
1691,7.988,4.209,0.586,Maple,Deciduous
1692,6.263,2.707,0.456,Cedar,Coniferous
1693,5.559,2.259,0.451,Cedar,Coniferous
1694,12.294,4.165,0.66,Willow,Deciduous
1695,4.985,3.304,0.667,Cherry,Deciduous
1696,10.616,5.877,0.699,Ash,Deciduous
1697,8.369,2.149,0.481,Birch,Deciduous
1698,6.961,2.796,0.51,Birch,Deciduous
1699,11.517,6.179,0.605,Oak,Deciduous
1700,8.146,3.809,0.705,Birch,Deciduous
1701,5.494,1.747,0.419,Cedar,Coniferous
1702,5.97,3.302,0.655,Cherry,Deciduous
1703,9.656,3.13,0.598,Maple,Deciduous
1704,12.341,7.506,0.805,Oak,Deciduous
1705,4.981,2.436,0.355,Spruce,Coniferous
1706,7.322,2.484,0.488,Birch,Deciduous
1707,5.34,3.797,0.414,Pine,Coniferous
1708,12.838,4.638,0.711,Willow,Deciduous
1709,6.078,1.554,0.661,Cherry,Deciduous
1710,8.537,5.528,0.716,Ash,Deciduous
1711,5.913,2.648,0.388,Pine,Coniferous
1712,9.693,4.468,0.624,Willow,Deciduous
1713,6.509,2.549,0.62,Cherry,Deciduous
1714,6.717,2.257,0.677,Cherry,Deciduous
1715,6.7,2.17,0.464,Cedar,Coniferous
1716,11.17,4.976,0.732,Oak,Deciduous
1717,6.201,2.919,0.387,Cedar,Coniferous
1718,9.044,3.761,0.679,Ash,Deciduous
1719,9.537,4.491,0.692,Maple,Deciduous
1720,10.108,5.386,0.708,Ash,Deciduous
1721,5.57,2.789,0.393,Cedar,Coniferous
1722,9.086,3.973,0.631,Poplar,Deciduous
1723,6.513,1.944,0.387,Pine,Coniferous
1724,9.966,3.722,0.714,Willow,Deciduous
1725,5.246,2.243,0.384,Cedar,Coniferous
1726,7.227,3.217,0.583,Birch,Deciduous
1727,5.528,3.494,0.391,Pine,Coniferous
1728,12.429,4.837,0.694,Ash,Deciduous
1729,6.359,2.242,0.348,Spruce,Coniferous
1730,9.245,5.926,0.735,Ash,Deciduous
1731,5.058,2.747,0.363,Spruce,Coniferous
1732,6.265,2.815,0.688,Cherry,Deciduous
1733,10.767,7.839,0.777,Oak,Deciduous
1734,10.643,4.797,0.723,Ash,Deciduous
1735,5.937,2.361,0.694,Cherry,Deciduous
1736,4.274,2.376,0.311,Cedar,Coniferous
1737,9.83,2.753,0.69,Willow,Deciduous
